i1,i2,i3,j1,j2,j3,k1,ku,nvr,X,time,peak,backend
300,10,2,640,160,160,256,2,10,[300; 10; 2; 640; 160; 160; 256; 2; 10],0.14942835201509297,0.24474223317228772,tvm
1500,50,1,640,80,16,320,16,1,[1500; 50; 1; 640; 80; 16; 320; 16; 1],0.2796108339680359,0.13079403273626117,tvm
1500,750,10,320,320,32,640,40,2,[1500; 750; 10; 320; 320; 32; 640; 40; 2],0.08761039498494938,0.4174325270159003,tvm
150,30,5,640,32,16,64,16,1,[150; 30; 5; 640; 32; 16; 64; 16; 1],0.08279629849130288,0.44170366595881244,tvm
100,10,10,160,80,16,160,10,1,[100; 10; 10; 160; 80; 16; 160; 10; 1],0.11303268105257303,0.3235473867457741,tvm
75,25,1,256,256,32,40,4,2,[75; 25; 1; 256; 256; 32; 40; 4; 2],0.1340667160693556,0.27278529409573504,tvm
250,2,1,1280,1280,80,1280,16,5,[250; 2; 1; 1280; 1280; 80; 1280; 16; 5],0.45808091305661947,0.0798361763807179,tvm
60,10,1,256,128,128,128,16,8,[60; 10; 1; 256; 128; 128; 128; 16; 8],0.15132790396455675,0.2416700926485716,tvm
125,1,1,1280,80,16,1280,32,1,[125; 1; 1; 1280; 80; 16; 1280; 32; 1],0.6042985810199752,0.06051880596790562,tvm
1500,125,1,640,640,128,20,1,8,[1500; 125; 1; 640; 640; 128; 20; 1; 8],0.12499617307912558,0.29258038602732245,tvm
1500,250,2,640,320,160,64,32,10,[1500; 250; 2; 640; 320; 160; 64; 32; 10],0.08318460948066786,0.4396417654629705,tvm
12,4,4,64,32,32,1280,10,2,[12; 4; 4; 64; 32; 32; 1280; 10; 2],0.10848517494741827,0.3371099192968477,tvm
250,250,1,1280,1280,128,64,1,8,[250; 250; 1; 1280; 1280; 128; 64; 1; 8],0.11749727500136942,0.31125341903463155,tvm
1500,1500,30,640,80,16,160,4,1,[1500; 1500; 30; 640; 80; 16; 160; 4; 1],0.09519682149402797,0.3841664878876531,tvm
1500,10,2,128,64,64,160,32,4,[1500; 10; 2; 128; 64; 64; 160; 32; 4],0.09872381400782615,0.3704418122311344,tvm
300,12,4,640,160,16,20,1,1,[300; 12; 4; 640; 160; 16; 20; 1; 1],0.18357075995299965,0.19922251550732864,tvm
30,6,1,1280,640,160,1280,4,10,[30; 6; 1; 1280; 640; 160; 1280; 4; 10],0.5050846230005845,0.07240653725343417,tvm
30,30,2,640,320,80,1280,40,5,[30; 30; 2; 640; 320; 80; 1280; 40; 5],0.1991437909891829,0.18364332821913118,tvm
750,6,1,320,32,32,1280,8,2,[750; 6; 1; 320; 32; 32; 1280; 8; 2],0.33361880597658455,0.10962040483411893,tvm
1500,1500,2,128,32,32,20,2,2,[1500; 1500; 2; 128; 32; 32; 20; 2; 2],0.08630210999399424,0.42376053811399955,tvm
375,3,3,128,32,32,320,1,2,[375; 3; 3; 128; 32; 32; 320; 1; 2],0.12078526802361012,0.3027805391323045,tvm
60,20,4,64,32,16,80,20,1,[60; 20; 4; 64; 32; 16; 80; 20; 1],0.09869852347765118,0.370536734318114,tvm
375,1,1,256,32,32,1280,64,2,[375; 1; 1; 256; 32; 32; 1280; 64; 2],0.31785977608524263,0.11505522662175714,tvm
75,3,3,256,128,16,32,2,1,[75; 3; 3; 256; 128; 16; 32; 2; 1],0.2550993579206988,0.14336150772593206,tvm
300,30,2,128,128,16,40,20,1,[300; 30; 2; 128; 128; 16; 40; 20; 1],0.13965918798930943,0.26186195908734644,tvm
60,30,15,256,64,16,256,1,1,[60; 30; 15; 256; 64; 16; 256; 1; 1],0.15828124503605068,0.23105345527891785,tvm
75,1,1,1280,1280,16,4,2,1,[75; 1; 1; 1280; 1280; 16; 4; 2; 1],0.45710954105015844,0.08000583074116059,tvm
50,50,2,640,320,160,640,64,10,[50; 50; 2; 640; 320; 160; 640; 64; 10],0.14635478192940354,0.24988202017935676,tvm
375,125,1,640,640,80,1280,32,5,[375; 125; 1; 640; 640; 80; 1280; 32; 5],0.46023010497447103,0.07946335577820836,tvm
375,25,1,128,32,16,160,8,1,[375; 25; 1; 128; 32; 16; 160; 8; 1],0.27344044600613415,0.13374549780615907,tvm
60,30,2,320,16,16,256,16,1,[60; 30; 2; 320; 16; 16; 256; 16; 1],0.15558772906661034,0.23505342478372176,tvm
150,10,2,64,64,32,32,4,2,[150; 10; 2; 64; 64; 32; 32; 4; 2],0.09782894048839808,0.3738303654199927,tvm
125,25,25,80,80,16,160,4,1,[125; 25; 25; 80; 80; 16; 160; 4; 1],0.12728969391901046,0.2873086378438271,tvm
50,10,2,64,64,32,256,32,2,[50; 10; 2; 64; 64; 32; 256; 32; 2],0.10415825806558132,0.351114057114915,tvm
300,50,25,640,64,16,40,2,1,[300; 50; 25; 640; 64; 16; 40; 2; 1],0.15167368401307613,0.24111914212010352,tvm
12,12,1,640,16,16,256,2,1,[12; 12; 1; 640; 16; 16; 256; 2; 1],0.2935906450729817,0.12456605544205106,tvm
150,25,25,640,128,16,256,32,1,[150; 25; 25; 640; 128; 16; 256; 32; 1],0.16287868295330554,0.22453170610369536,tvm
1500,150,5,640,640,64,10,5,4,[1500; 150; 5; 640; 640; 64; 10; 5; 4],0.07513667596504092,0.48673205331101255,tvm
750,6,2,256,128,128,640,32,8,[750; 6; 2; 256; 128; 128; 640; 32; 8],0.10750311997253448,0.3401894622293014,tvm
1500,20,1,1280,320,80,160,20,5,[1500; 20; 1; 1280; 320; 80; 160; 20; 5],0.12909420393407345,0.28329256819388327,tvm
750,5,5,320,64,64,32,32,4,[750; 5; 5; 320; 64; 64; 32; 32; 4],0.08579357049893588,0.4262723693482623,tvm
150,15,3,128,16,16,640,10,1,[150; 15; 3; 128; 16; 16; 640; 10; 1],0.12183671491220593,0.3001675529234476,tvm
300,20,2,64,64,64,20,2,4,[300; 20; 2; 64; 64; 64; 20; 2; 4],0.07119543250882998,0.5136766121463314,tvm
300,2,1,640,640,160,20,1,10,[300; 2; 1; 640; 640; 160; 20; 1; 10],0.34158846794161946,0.10706283145858121,tvm
1500,1500,6,1280,1280,32,320,2,2,[1500; 1500; 6; 1280; 1280; 32; 320; 2; 2],0.1573122750269249,0.23247663645554145,tvm
30,3,1,320,16,16,32,2,1,[30; 3; 1; 320; 16; 16; 32; 2; 1],0.3136825429974124,0.11658738870824016,tvm
1500,150,3,640,320,16,40,40,1,[1500; 150; 3; 640; 320; 16; 40; 40; 1],0.11709158401936293,0.3123318287792649,tvm
250,5,1,320,16,16,640,5,1,[250; 5; 1; 320; 16; 16; 640; 5; 1],0.3607496600598097,0.10137619690442756,tvm
1,1,1,256,128,16,640,16,1,[1; 1; 1; 256; 128; 16; 640; 16; 1],0.5961582210147753,0.0613451719397193,tvm
750,15,1,64,64,16,1280,16,1,[750; 15; 1; 64; 64; 16; 1280; 16; 1],0.4438256830908358,0.08240043324384105,tvm
15,3,3,128,64,32,32,4,2,[15; 3; 3; 128; 64; 32; 32; 4; 2],0.13390532101038843,0.2731140801237566,tvm
60,15,5,160,160,80,64,2,5,[60; 15; 5; 160; 160; 80; 64; 2; 5],0.15115656808484346,0.241944025554359,tvm
750,150,2,1280,128,64,8,1,4,[750; 150; 2; 1280; 128; 64; 8; 1; 4],0.09513698500813916,0.384408109719893,tvm
30,6,6,320,320,16,80,16,1,[30; 6; 6; 320; 320; 16; 80; 16; 1],0.12703004793729633,0.2878958889276394,tvm
1500,150,15,256,64,16,256,1,1,[1500; 150; 15; 256; 64; 16; 256; 1; 1],0.13714458793401718,0.2666633012818834,tvm
30,5,1,1280,320,160,20,5,10,[30; 5; 1; 1280; 320; 160; 20; 5; 10],0.19903780100867152,0.1837411204610086,tvm
100,100,2,160,160,32,256,1,2,[100; 100; 2; 160; 160; 32; 256; 1; 2],0.10482761706225574,0.3488720777627644,tvm
375,75,1,64,32,32,320,16,2,[375; 75; 1; 64; 32; 32; 320; 16; 2],0.1509370820131153,0.24229584992408157,tvm
750,10,2,640,32,32,16,16,2,[750; 10; 2; 640; 32; 32; 16; 16; 2],0.10007275198586285,0.3654484147352615,tvm
100,5,5,256,64,32,256,2,2,[100; 5; 5; 256; 64; 32; 256; 2; 2],0.13911318988539279,0.2628897274338805,tvm
500,100,4,320,16,16,80,16,1,[500; 100; 4; 320; 16; 16; 80; 16; 1],0.09348505747038871,0.3912007925225113,tvm
1500,300,15,320,64,16,320,10,1,[1500; 300; 15; 320; 64; 16; 320; 10; 1],0.07050872303079814,0.5186794909823316,tvm
20,20,20,640,32,16,128,16,1,[20; 20; 20; 640; 32; 16; 128; 16; 1],0.11482610704842955,0.31849402118983317,tvm
750,50,1,640,320,80,640,4,5,[750; 50; 1; 640; 320; 80; 640; 4; 5],0.2041465019574389,0.17914305766088073,tvm
500,10,1,320,80,80,640,4,5,[500; 10; 1; 320; 80; 80; 640; 4; 5],0.1464407070307061,0.24973540016957288,tvm
300,15,5,640,64,64,80,40,4,[300; 15; 5; 640; 64; 64; 80; 40; 4],0.06753772997763008,0.541496265621332,tvm
300,60,5,160,160,80,640,32,5,[300; 60; 5; 160; 160; 80; 640; 32; 5],0.10997095599304885,0.33255533919101526,tvm
750,1,1,640,320,32,4,4,2,[750; 1; 1; 640; 320; 32; 4; 4; 2],0.49470706889405847,0.07392542146847783,tvm
300,10,1,640,160,16,20,10,1,[300; 10; 1; 640; 160; 16; 20; 10; 1],0.1393212619004771,0.26249710972007306,tvm
250,2,1,256,64,64,40,20,4,[250; 2; 1; 256; 64; 64; 40; 20; 4],0.23773129703477025,0.15383514508853113,tvm
375,75,5,1280,320,64,160,16,4,[375; 75; 5; 1280; 320; 64; 160; 16; 4],0.05805182352196425,0.6299789800331002,tvm
300,20,2,256,128,16,256,32,1,[300; 20; 2; 256; 128; 16; 256; 32; 1],0.15709179395344108,0.23280292147066337,tvm
6,6,2,640,64,16,640,64,1,[6; 6; 2; 640; 64; 16; 640; 64; 1],0.21932917705271393,0.16674219573914206,tvm
750,250,2,1280,640,32,128,1,2,[750; 250; 2; 1280; 640; 32; 128; 1; 2],0.10007529205176979,0.3654391390884961,tvm
500,100,5,32,32,32,160,8,2,[500; 100; 5; 32; 32; 32; 160; 8; 2],0.06478775397408754,0.5644805743081579,tvm
1500,75,5,640,64,64,640,32,4,[1500; 75; 5; 640; 64; 64; 640; 32; 4],0.04956120951101184,0.7379042790168971,tvm
12,12,12,160,160,16,640,32,1,[12; 12; 12; 160; 160; 16; 640; 32; 1],0.12435857998207211,0.29408046132965504,tvm
60,60,1,640,64,16,20,1,1,[60; 60; 1; 640; 64; 16; 20; 1; 1],0.12258005200419575,0.29834730833836476,tvm
100,5,5,256,128,64,32,2,4,[100; 5; 5; 256; 128; 64; 32; 2; 4],0.14617707300931215,0.2501858042341483,tvm
60,15,15,256,32,16,640,8,1,[60; 15; 15; 256; 32; 16; 640; 8; 1],0.11674789595417678,0.31325128622260356,tvm
25,5,1,320,320,160,10,2,10,[25; 5; 1; 320; 320; 160; 10; 2; 10],0.20581112999934703,0.17769412456724087,tvm
250,25,5,1280,80,80,640,5,5,[250; 25; 5; 1280; 80; 80; 640; 5; 5],0.10168616997543722,0.3596499758055847,tvm
300,5,5,640,128,32,64,8,2,[300; 5; 5; 640; 128; 32; 64; 8; 2],0.13187330996152014,0.27732244365520137,tvm
1500,150,25,640,16,16,256,32,1,[1500; 150; 25; 640; 16; 16; 256; 32; 1],0.12351025396492332,0.29610034306799166,tvm
60,15,5,256,256,16,8,8,1,[60; 15; 5; 256; 256; 16; 8; 8; 1],0.09274647349957377,0.3943161091898189,tvm
375,3,1,1280,256,16,160,16,1,[375; 3; 1; 1280; 256; 16; 160; 16; 1],0.36897654295898974,0.09911586324199839,tvm
15,15,5,1280,80,16,1280,16,1,[15; 15; 5; 1280; 80; 16; 1280; 16; 1],0.13562132499646395,0.2696583931205664,tvm
750,375,3,320,64,32,1,1,2,[750; 375; 3; 320; 64; 32; 1; 1; 2],0.2741143349558115,0.1334166948157748,tvm
1500,1500,5,64,32,16,80,1,1,[1500; 1500; 5; 64; 32; 16; 80; 1; 1],0.16796357790008187,0.21773427923275232,tvm
500,250,5,640,320,16,16,2,1,[500; 250; 5; 640; 320; 16; 16; 2; 1],0.1396234940038994,0.261928902670257,tvm
250,2,1,640,320,32,20,1,2,[250; 2; 1; 640; 320; 32; 20; 1; 2],0.3407418919960037,0.10732882991639166,tvm
60,60,4,80,16,16,10,2,1,[60; 60; 4; 80; 16; 16; 10; 2; 1],0.11934567196294665,0.3064328012060876,tvm
50,50,2,640,80,16,80,16,1,[50; 50; 2; 640; 80; 16; 80; 16; 1],0.1316778160398826,0.2777341671610943,tvm
500,100,4,320,320,64,40,40,4,[500; 100; 4; 320; 320; 64; 40; 40; 4],0.0749625425087288,0.4878627024579658,tvm
300,30,10,320,64,16,1280,16,1,[300; 30; 10; 320; 64; 16; 1280; 16; 1],0.10334563802462071,0.3538749120956215,tvm
300,2,1,256,256,128,40,4,8,[300; 2; 1; 256; 256; 128; 40; 4; 8],0.35443293396383524,0.10318292987739158,tvm
30,5,1,640,128,64,320,8,4,[30; 5; 1; 640; 128; 64; 320; 8; 4],0.18036854802630842,0.20275945541289322,tvm
75,1,1,160,80,16,20,1,1,[75; 1; 1; 160; 80; 16; 20; 1; 1],0.3240341239143163,0.11286289273996057,tvm
375,15,3,320,32,16,1280,32,1,[375; 15; 3; 320; 32; 16; 1280; 32; 1],0.17020534502808005,0.21486651059868367,tvm
75,75,3,640,80,80,128,2,5,[75; 75; 3; 640; 80; 80; 128; 2; 5],0.12961301498580724,0.2821586132799487,tvm
1500,15,5,320,32,16,320,40,1,[1500; 15; 5; 320; 32; 16; 320; 40; 1],0.08829155401326716,0.41421208381872127,tvm
10,10,5,640,64,32,320,40,2,[10; 10; 5; 640; 64; 32; 320; 40; 2],0.07255034148693085,0.5040834794418786,tvm
1500,300,5,640,640,32,1280,2,2,[1500; 300; 5; 640; 640; 32; 1280; 2; 2],0.0935553495073691,0.39090686704716915,tvm
300,50,5,64,32,16,32,4,1,[300; 50; 5; 64; 32; 16; 32; 4; 1],0.10920724691823125,0.33488096809922674,tvm
100,20,20,256,16,16,20,10,1,[100; 20; 20; 256; 16; 16; 20; 10; 1],0.09527570847421885,0.38384840330339426,tvm
100,2,2,640,64,64,160,8,4,[100; 2; 2; 640; 64; 64; 160; 8; 4],0.22904181701596826,0.1596714043221151,tvm
375,75,1,160,160,16,256,4,1,[375; 75; 1; 160; 160; 16; 256; 4; 1],0.27197583904489875,0.13446572570511026,tvm
2,2,1,1280,16,16,16,2,1,[2; 2; 1; 1280; 16; 16; 16; 2; 1],0.3008247730322182,0.12157053490907742,tvm
300,12,1,1280,128,32,80,20,2,[300; 12; 1; 1280; 128; 32; 80; 20; 2],0.16617490095086396,0.2200779321194982,tvm
300,150,2,1280,1280,128,640,40,8,[300; 150; 2; 1280; 1280; 128; 640; 40; 8],0.2296167319873348,0.1592716186442623,tvm
60,30,1,320,16,16,32,1,1,[60; 30; 1; 320; 16; 16; 32; 1; 1],0.18473748408723623,0.1979643100160383,tvm
1500,12,6,1280,64,64,320,32,4,[1500; 12; 6; 1280; 64; 64; 320; 32; 4],0.06411752395797521,0.570381173724031,tvm
150,2,1,64,64,32,256,64,2,[150; 2; 1; 64; 64; 32; 256; 64; 2],0.2475138590671122,0.14775507403612662,tvm
30,5,1,1280,640,16,16,2,1,[30; 5; 1; 1280; 640; 16; 16; 2; 1],0.21308038802817464,0.17163207233597164,tvm
300,300,1,64,64,64,160,1,4,[300; 300; 1; 64; 64; 64; 160; 1; 4],0.1108970110071823,0.3297783072716,tvm
300,100,4,320,32,32,640,64,2,[300; 100; 4; 320; 32; 32; 640; 64; 2],0.055125229991972446,0.6634245077390925,tvm
60,10,1,320,80,80,160,40,5,[60; 10; 1; 320; 80; 80; 160; 40; 5],0.153580414946191,0.23812560074304964,tvm
15,15,5,320,64,32,640,20,2,[15; 15; 5; 320; 64; 32; 640; 20; 2],0.0734311135020107,0.4980372328199431,tvm
100,5,1,320,160,160,80,8,10,[100; 5; 1; 320; 160; 160; 80; 8; 10],0.21961985202506185,0.1665215062946825,tvm
300,20,5,1280,64,16,1,1,1,[300; 20; 5; 1280; 64; 16; 1; 1; 1],0.11907134507782757,0.30713878765310587,tvm
500,500,5,160,160,80,40,20,5,[500; 500; 5; 160; 160; 80; 40; 20; 5],0.098959022492636,0.3695613360989901,tvm
300,3,1,1280,640,128,256,8,8,[300; 3; 1; 1280; 640; 128; 256; 8; 8],0.24493446794804186,0.14931107441842975,tvm
100,100,1,640,320,64,8,1,4,[100; 100; 1; 640; 320; 64; 8; 1; 4],0.07251712051220238,0.5043144062135608,tvm
100,25,1,64,64,16,64,64,1,[100; 25; 1; 64; 64; 16; 64; 64; 1],0.2656933100661263,0.13764527440426183,tvm
375,15,3,128,32,16,8,1,1,[375; 15; 3; 128; 32; 16; 8; 1; 1],0.09115416248096153,0.4012041532285142,tvm
1500,60,15,1280,64,16,1,1,1,[1500; 60; 15; 1280; 64; 16; 1; 1; 1],0.11506652599200606,0.31782856270440696,tvm
750,250,5,256,256,16,64,4,1,[750; 250; 5; 256; 256; 16; 64; 4; 1],0.11053237598389387,0.3308662122377388,tvm
150,75,15,128,32,16,1280,20,1,[150; 75; 15; 128; 32; 16; 1280; 20; 1],0.1057481300085783,0.3458352272372277,tvm
500,500,1,256,64,32,4,1,2,[500; 500; 1; 256; 64; 32; 4; 1; 2],0.08348238799953833,0.43807357992240015,tvm
1500,125,1,256,256,16,160,4,1,[1500; 125; 1; 256; 256; 16; 160; 4; 1],0.2606496689841151,0.14030874742318342,tvm
30,3,1,80,80,80,128,8,5,[30; 3; 1; 80; 80; 80; 128; 8; 5],0.22554411797318608,0.16214756075251047,tvm
300,10,2,64,64,16,32,32,1,[300; 10; 2; 64; 64; 16; 32; 32; 1],0.16186743206344545,0.22593444589331635,tvm
150,50,2,128,32,16,320,5,1,[150; 50; 2; 128; 32; 16; 320; 5; 1],0.1510916299885139,0.2420480113571398,tvm
4,4,4,640,640,16,256,4,1,[4; 4; 4; 640; 640; 16; 256; 4; 1],0.153375755995512,0.23844334676008838,tvm
125,125,5,256,256,32,320,4,2,[125; 125; 5; 256; 256; 32; 320; 4; 2],0.08068470796570182,0.45326344351366665,tvm
1500,15,3,256,256,32,1280,4,2,[1500; 15; 3; 256; 256; 32; 1280; 4; 2],0.11572429293300956,0.3160220524535763,tvm
500,20,5,1280,1280,80,128,8,5,[500; 20; 5; 1280; 1280; 80; 128; 8; 5],0.0820374219911173,0.4457895882611766,tvm
30,30,2,320,32,16,320,10,1,[30; 30; 2; 320; 32; 16; 320; 10; 1],0.15356523101218045,0.23814914567821546,tvm
30,10,5,640,32,32,16,4,2,[30; 10; 5; 640; 32; 32; 16; 4; 2],0.1049881869694218,0.3483385095704161,tvm
30,10,10,32,32,16,16,2,1,[30; 10; 10; 32; 32; 16; 16; 2; 1],0.18273243599105626,0.20013649122052168,tvm
750,10,5,640,64,64,80,16,4,[750; 10; 5; 640; 64; 64; 80; 16; 4],0.07481658295728266,0.48881447302009806,tvm
750,75,1,1280,640,32,8,4,2,[750; 75; 1; 1280; 640; 32; 8; 4; 2],0.07693547150120139,0.47535197819457686,tvm
60,12,1,320,160,32,128,1,2,[60; 12; 1; 320; 160; 32; 128; 1; 2],0.1697361160768196,0.21546050078627335,tvm
300,20,1,1280,256,32,640,20,2,[300; 20; 1; 1280; 256; 32; 640; 20; 2],0.16462351800873876,0.22215190766052784,tvm
1500,250,5,256,32,32,1280,5,2,[1500; 250; 5; 256; 32; 32; 1280; 5; 2],0.1331994760548696,0.2745613545534031,tvm
250,250,2,640,160,16,1280,1,1,[250; 250; 2; 640; 160; 16; 1280; 1; 1],0.22508592798840255,0.16247763197934303,tvm
1500,50,5,1280,160,32,80,4,2,[1500; 50; 5; 1280; 160; 32; 80; 4; 2],0.09494672802975401,0.3851783977218043,tvm
300,30,3,320,320,32,320,8,2,[300; 30; 3; 320; 320; 32; 320; 8; 2],0.08028513303725049,0.4555193120806097,tvm
750,75,3,1280,640,80,80,1,5,[750; 75; 3; 1280; 640; 80; 80; 1; 5],0.131018599960953,0.27913157812957723,tvm
300,12,6,128,32,32,256,16,2,[300; 12; 6; 128; 32; 32; 256; 16; 2],0.0877379075391218,0.4168258577983706,tvm
750,30,2,1280,320,64,80,20,4,[750; 30; 2; 1280; 320; 64; 80; 20; 4],0.08364187547704205,0.4372382656755069,tvm
1500,300,10,128,128,16,320,40,1,[1500; 300; 10; 128; 128; 16; 320; 40; 1],0.0958324774983339,0.3816183148564054,tvm
300,300,1,640,128,64,1280,40,4,[300; 300; 1; 640; 128; 64; 1280; 40; 4],0.30115212593227625,0.12143838751997665,tvm
750,750,2,320,320,64,40,40,4,[750; 750; 2; 320; 320; 64; 40; 40; 4],0.08270929451100528,0.44216830511790167,tvm
500,4,4,64,32,16,40,10,1,[500; 4; 4; 64; 32; 16; 40; 10; 1],0.1331945420242846,0.27457152534644186,tvm
60,4,2,256,128,64,128,4,4,[60; 4; 2; 256; 128; 64; 128; 4; 4],0.13533381698653102,0.27023126507300327,tvm
750,6,1,1280,320,16,64,4,1,[750; 6; 1; 1280; 320; 16; 64; 4; 1],0.26926806604024023,0.13581791970074622,tvm
300,300,2,1280,128,128,2,1,8,[300; 300; 2; 1280; 128; 128; 2; 1; 8],0.133311300072819,0.27433104734146363,tvm
250,1,1,160,160,80,128,32,5,[250; 1; 1; 160; 160; 80; 128; 32; 5],0.30677656491752714,0.11921193713496442,tvm
20,10,1,640,64,16,256,8,1,[20; 10; 1; 640; 64; 16; 256; 8; 1],0.30742556403856725,0.11896027152394069,tvm
300,300,3,320,160,16,1280,1,1,[300; 300; 3; 320; 160; 16; 1280; 1; 1],0.1582682419102639,0.23107243834909164,tvm
750,250,10,128,32,16,32,32,1,[750; 250; 10; 128; 32; 16; 32; 32; 1],0.14114705892279744,0.25910159836509156,tvm
250,125,1,1280,32,16,8,1,1,[250; 125; 1; 1280; 32; 16; 8; 1; 1],0.07161512947641313,0.5106662354562047,tvm
750,10,5,320,32,32,8,4,2,[750; 10; 5; 320; 32; 32; 8; 4; 2],0.10919188905972987,0.33492806916659684,tvm
300,12,1,320,64,16,40,40,1,[300; 12; 1; 320; 64; 16; 40; 40; 1],0.2042422549566254,0.17905907168521612,tvm
750,250,5,320,160,16,640,5,1,[750; 250; 5; 320; 160; 16; 640; 5; 1],0.08362461748765782,0.43732850050795347,tvm
300,20,2,128,64,16,4,4,1,[300; 20; 2; 128; 64; 16; 4; 4; 1],0.06977503898087889,0.5241334022249788,tvm
750,10,5,128,128,16,10,1,1,[750; 10; 5; 128; 128; 16; 10; 1; 1],0.17469668691046536,0.2093424278284795,tvm
500,50,2,160,160,32,8,2,2,[500; 50; 2; 160; 160; 32; 8; 2; 2],0.06496192252961919,0.5629671528694974,tvm
750,30,6,128,32,16,16,4,1,[750; 30; 6; 128; 32; 16; 16; 4; 1],0.1064429790712893,0.3435776496534841,tvm
500,250,25,160,32,16,4,1,1,[500; 250; 25; 160; 32; 16; 4; 1; 1],0.1369620169280097,0.2670187647035845,tvm
375,25,25,256,64,16,10,2,1,[375; 25; 25; 256; 64; 16; 10; 2; 1],0.1602520679589361,0.22821189790074875,tvm
1500,300,6,256,64,64,4,4,4,[1500; 300; 6; 256; 64; 64; 4; 4; 4],0.09272222896106541,0.39441921296763827,tvm
60,2,2,320,80,80,128,32,5,[60; 2; 2; 320; 80; 80; 128; 32; 5],0.18818208400625736,0.19434065025134123,tvm
60,10,1,1280,128,128,640,8,8,[60; 10; 1; 1280; 128; 128; 640; 8; 8],0.15701618406455964,0.23291502585740884,tvm
750,75,3,640,320,16,256,8,1,[750; 75; 3; 640; 320; 16; 256; 8; 1],0.10367491201031953,0.35275099696046375,tvm
1500,300,20,1280,80,16,640,16,1,[1500; 300; 20; 1280; 80; 16; 640; 16; 1],0.07484323950484395,0.48864037437959407,tvm
100,10,2,320,320,80,1280,1,5,[100; 10; 2; 320; 320; 80; 1280; 1; 5],0.1908077640691772,0.19166635461526413,tvm
150,25,5,1280,80,80,640,8,5,[150; 25; 5; 1280; 80; 80; 640; 8; 5],0.07724545948440209,0.4734443786798021,tvm
500,4,1,1280,80,80,32,8,5,[500; 4; 1; 1280; 80; 80; 32; 8; 5],0.1699448850704357,0.21519581808108615,tvm
125,125,1,1280,128,32,128,4,2,[125; 125; 1; 1280; 128; 32; 128; 4; 2],0.14196778601035476,0.2576037113712624,tvm
60,6,6,16,16,16,64,1,1,[60; 6; 6; 16; 16; 16; 64; 1; 1],0.17961304902564734,0.2036123141933104,tvm
60,60,30,320,16,16,40,2,1,[60; 60; 30; 320; 16; 16; 40; 2; 1],0.14519416401162744,0.2518794665087218,tvm
1500,125,5,1280,80,80,1280,8,5,[1500; 125; 5; 1280; 80; 80; 1280; 8; 5],0.10008664603810757,0.365397683098544,tvm
300,30,2,640,64,64,320,8,4,[300; 30; 2; 640; 64; 64; 320; 8; 4],0.08291523950174451,0.4410700468477706,tvm
12,6,1,160,32,16,640,20,1,[12; 6; 1; 160; 32; 16; 640; 20; 1],0.33690829295665026,0.10855009905064639,tvm
750,50,10,640,320,16,128,1,1,[750; 50; 10; 640; 320; 16; 128; 1; 1],0.14951430109795183,0.24460154181150476,tvm
100,100,4,1280,320,80,1280,1,5,[100; 100; 4; 1280; 320; 80; 1280; 1; 5],0.20595137600321323,0.17757312080720447,tvm
500,5,1,256,256,16,32,32,1,[500; 5; 1; 256; 256; 16; 32; 32; 1],0.20515302394051105,0.17826414580188357,tvm
150,6,2,160,160,32,32,8,2,[150; 6; 2; 160; 160; 32; 32; 8; 2],0.1184024780523032,0.3088738443064805,tvm
500,20,4,64,64,64,4,4,4,[500; 20; 4; 64; 64; 64; 4; 4; 4],0.09867781098000705,0.37061451007297125,tvm
30,6,1,1280,256,64,320,8,4,[30; 6; 1; 1280; 256; 64; 320; 8; 4],0.18846010090783238,0.19405395834587855,tvm
60,12,1,160,160,80,40,2,5,[60; 12; 1; 160; 160; 80; 40; 2; 5],0.20516154495999217,0.17825674191798585,tvm
60,15,15,1280,128,16,320,4,1,[60; 15; 15; 1280; 128; 16; 320; 4; 1],0.14336750097572803,0.25508869389876637,tvm
1500,250,5,1280,160,80,160,4,5,[1500; 250; 5; 1280; 160; 80; 160; 4; 5],0.08611087501049042,0.4247016252822106,tvm
500,250,1,64,16,16,640,10,1,[500; 250; 1; 64; 16; 16; 640; 10; 1],0.28629917697981,0.1277385040265331,tvm
150,150,6,1280,64,64,160,20,4,[150; 150; 6; 1280; 64; 64; 160; 20; 4],0.051782006048597395,0.7062574697686741,tvm
75,75,3,320,80,16,128,1,1,[75; 75; 3; 320; 80; 16; 128; 1; 1],0.2511686868965626,0.14560504744164063,tvm
1500,6,6,320,16,16,1280,1,1,[1500; 6; 6; 320; 16; 16; 1280; 1; 1],0.1056696359300986,0.34609212239191306,tvm
150,30,30,1280,160,16,256,16,1,[150; 30; 30; 1280; 160; 16; 256; 16; 1],0.12156359700020403,0.30084194178103496,tvm
300,6,3,80,80,80,128,1,5,[300; 6; 3; 80; 80; 80; 128; 1; 5],0.1445389339933172,0.2530212971760223,tvm
100,1,1,256,32,16,5,5,1,[100; 1; 1; 256; 32; 16; 5; 5; 1],0.31109124200884253,0.1175585282802306,tvm
100,20,5,1280,640,80,20,20,5,[100; 20; 5; 1280; 640; 80; 20; 20; 5],0.10225820099003613,0.3576380986302706,tvm
75,75,25,1280,80,16,20,10,1,[75; 75; 25; 1280; 80; 16; 20; 10; 1],0.07655652047833428,0.4777049471805396,tvm
150,30,10,320,320,32,4,2,2,[150; 30; 10; 320; 320; 32; 4; 2; 2],0.1244715959765017,0.2938134462285893,tvm
